Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,52924
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,49726
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,70986
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,51394960784314
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,59065215686275
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,41542745098039
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,42651
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,43345803921569
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,55607647058824
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,49914862745098
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,3636137254902
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,70554
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,29852117647059
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,44432
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,41931
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	6b8e24e1-8819-43b6-b475-bf46bc94c35b	6,36509
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,48902
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,54751
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,43984529411765
local	9c6402c0-2d9e-437c-bb3b-8e86c8b1fb3f	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	2de30346-9767-4a32-b9df-f5c9963bc182	6,6583937254902
