Testdatensatz - Example

Typ	AgentConfig	TestinstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlTuerme	ClientID	TargetValue
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	5,66689450980392
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	3,81238549019608
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	3,58176882352941
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	3,23519019607843
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	3,90903019607843
local	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	1f01b150-d949-43a5-81d1-21fc69d3506b	2,85995392156863
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,51138529411765
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,51138529411765
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,74109
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,74109
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,73828
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,73828
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,50903862745098
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,47212862745098
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,33244
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,33244
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,43664
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,43664
remote	9ef67fcd-66b9-4e45-ad58-31e2892717c8	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	5218931e-b210-4f64-b19e-5f1b33e20e61	6,44376058823529
remote	cc34948b-ce80-4a6f-af71-96352ebbd4dd	7311644a-a47e-4b00-abf3-6047ca61576d	10	100	1	6	3782b99c-887f-40a2-b9d8-1326a60db04e	6,44376058823529
